disp.name.flag,disp.name.sk
FILE_LISTMODE,"Zobraziť súbory ako zoznam"
CURRENT_SETTING,"Prúd ovládača (mA)"
STEPS_SETTING,"Počet krokov na MM"
MAXFEEDRATE,"Max Feed Rate"
MAXACCELERATION,"Maximálna akcelerácia"
ACCELERATION,"Akcelerácia"
PRINT_ACCELERATION,"Akcelerácia pri tlači"
RETRACT_ACCELERATION,"Akcelerácia retrakcie"
TRAVEL_ACCELERATION,"Akcelerácia presunu"
BUMP_SENSITIVITY,"TMC bump citlivosť"
RESET,"Reset"
RESET_SETTINGS,"Resetovať všetky nastavenia."
RESET_SETTINGS_DONE,"Reset všetkých nastavení\nvykonaný. Pre správne\nfungovanie, prosím,\nreštartovať zariadenie."
INFO,"Info"
LCD_BRIGHTNESS,"Jas LCD"
LCD_BRIGHTNESS_DIM,"Zníženie jasu LCD"
LCD_DIM_IDLE_TIMER,"Zníženie jasu LCD po"
5_SECONDS,"5 sek."
10_SECONDS,"10 sek."
30_SECONDS,"30 Sec."
60_SECONDS,"1 Min."
120_SECONDS,"2 Min."
300_SECONDS,"5 Min."
CUSTOM_SECONDS,"Custom"
ST7920_FULLSCREEN,"Marlin mode in fullscreen"
